Code,Class title
4491,"Furniture, floor covering, window treatment and other home furnishings retailers"
4492,Electronics and appliances retailers
4551,Department stores
4552,"Warehouse clubs, Supercentres and other general merchandise retailers"
4561,Health and personal care retailers
4571,Gasoline stations
4572,Fuel dealers
4581,Clothing and clothing accessories retailers
4582,Shoe retailers
4583,"Jewellery, luggage and leather goods retailers"
4591,"Sporting goods, hobby and musical instrument retailers"
4592,Book retailers and news dealers
4593,Florists
4594,"Office supplies, stationery and gift retailers"
4595,Used merchandise retailers
4599,Other miscellaneous store retailers
4811,Scheduled air transportation
4812,Non-scheduled air transportation
4821,Rail transportation
4831,"Deep sea, coastal and Great Lakes water transportation"
4832,Inland water transportation
4841,General freight trucking
4842,Specialized freight trucking
4851,Urban transit systems
4852,Interurban and rural bus transportation
4853,Taxi and limousine service
4854,School and employee bus transportation
4855,Charter bus industry
4859,Other transit and ground passenger transportation
4861,Pipeline transportation of crude oil
4862,Pipeline transportation of natural gas
4869,Other pipeline transportation
4871,"Scenic and sightseeing transportation, land"
4872,"Scenic and sightseeing transportation, water"
4879,"Scenic and sightseeing transportation, other"
4881,Support activities for air transportation
4882,Support activities for rail transportation
4883,Support activities for water transportation
4884,Support activities for road transportation
4885,Freight transportation arrangement
4889,Other support activities for transportation
4911,Postal service
4921,Couriers
4922,Local messengers and local delivery
4931,Warehousing and storage
5121,Motion picture and video industries
5122,Sound recording industries
5131,"Newspaper, periodical, book and directory publishers"
5132,Software publishers
5161,Radio and television broadcasting stations
5162,"Media streaming distribution services, and other media networks and content providers"
5173,Wired and wireless telecommunications carriers(except satellite)
5174,Satellite telecommunications
5179,Other telecommunications
5182,"Computing infrastructure providers, data processing, web hosting, and related services"
5192,"Web search portals, libraries and archives, and all other information services"
5211,Monetary authorities - central bank
5221,Depository credit intermediation
5222,Non-depository credit intermediation
5223,Activities related to credit intermediation
5231,Securities and commodity contracts intermediation and brokerage
5232,Securities and commodity exchanges
5239,Other financial investment activities
5241,Insurance carriers
5242,"Agencies, brokerages and other insurance related activities"
5261,Pension funds
5269,Other funds and financial vehicles
5311,Lessors of real estate
5312,Offices of real estate agents and brokers
5313,Activities related to real estate
5321,Automotive equipment rental and leasing
5322,Consumer goods rental
5323,General rental centres
5324,Commercial and industrial machinery and equipment rental and leasing
5331,Lessors of non-financial intangible assets (except copyrighted works)
5411,Legal services
5412,"Accounting, tax preparation, bookkeeping and payroll services"
5413,"Architectural, engineering and related services"
5414,Specialized design services
5415,Computer systems design and related services
5416,"Management, scientific and technical consulting services"
5417,Scientific research and development services
5418,"Advertising, public relations, and related services"
5419,"Other professional, scientific and technical services"
5511,Management of companies and enterprises
5611,Office administrative services
5612,Facilities support services
5613,Employment services
5614,Business support services
5615,Travel arrangement and reservation services
5616,Investigation and security services
5617,Services to buildings and dwellings
5619,Other support services
5621,Waste collection
5622,Waste treatment and disposal
5629,Remediation and other waste management services
6111,Elementary and secondary schools
6112,Community colleges and C.E.G.E.P.s
6113,Universities
6114,Business schools and computer and management training
6115,Technical and trade schools
6116,Other schools and instruction
6117,Educational support services
6211,Offices of physicians
6212,Offices of dentists
6213,Offices of other health practitioners
6214,Out-patient care centres
6215,Medical and diagnostic laboratories
6216,Home health care services
6219,Other ambulatory health care services
6221,General medical and surgical hospitals
6222,Psychiatric and substance use hospitals
6223,Specialty hospitals (except psychiatric and substance use)
6231,Nursing care facilities
6232,"Residential facilities for persons with an intellectual or developmental disability, a mental health or substance use condition"
6233,Community care facilities for the elderly
6239,Other residential care facilities
6241,Individual and family services
6242,"Community food and housing, and emergency and other relief services"
6243,Vocational rehabilitation services
6244,Child day-care services
7111,Performing arts companies
7112,Spectator sports
7113,"Promoters (presenters) of performing arts, sports and similar events"
7114,"Agents and managers for artists, athletes, entertainers and other public figures"
7115,"Independent artists, writers and performers"
7121,Heritage institutions
7131,Amusement parks and arcades
7132,Gambling industries
7139,Other amusement and recreation industries
7211,Traveller accommodation
7212,Recreational vehicle (RV) parks and recreational camps
7213,Rooming and boarding houses
7223,Special food services
7224,Drinking places (alcoholic beverages)
7225,Full-service restaurants and limited-service eating places
8111,Automotive repair and maintenance
8112,Electronic and precision equipment repair and maintenance
8113,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
8114,Personal and household goods repair and maintenance
8121,Personal care services
8122,Funeral services
8123,Dry cleaning and laundry services
8129,Other personal services
8131,Religious organizations
8132,Grant-making and giving services
8133,Social advocacy organizations
8134,Civic and social organizations
8139,"Business, professional, labour and other membership organizations"
8141,Private households
9111,Defence services
9112,Federal protective services
9113,"Federal labour, employment and immigration services"
9114,Foreign affairs and international assistance
9119,Other federal government public administration
9121,Provincial protective services
9122,Provincial labour and employment services
9129,Other provincial and territorial public administration
9131,Municipal protective services
9139,"Other local, municipal and regional public administration"
9141,Indigenous public administration
9191,International and other extra-territorial public administration
